Year,Month,State,Unemployment (%)
2018,January,VIC,5.7
2018,February,VIC,5.5
2018,March,VIC,5.5
2018,April,VIC,5.5
2018,May,VIC,5.5
2018,June,VIC,5.4
2018,July,VIC,5.4
2018,August,VIC,5.4
2018,September,VIC,5.2
2018,October,VIC,5.1
2018,November,VIC,5.1
2018,December,VIC,5
2019,January,VIC,5
2019,February,VIC,5
2019,March,VIC,5
2019,April,VIC,5.1
2019,May,VIC,5.1
2019,June,VIC,5.2
2019,July,VIC,5.2
2019,August,VIC,5.3
2019,September,VIC,5.2
2019,October,VIC,5.3
2019,November,VIC,5.2
2019,December,VIC,5.1
2020,January,VIC,5.3
2020,February,VIC,5.1
2020,March,VIC,5.2
2020,April,VIC,6.2
2020,May,VIC,7.2
2020,June,VIC,7.4
2020,July,VIC,7.5
2020,August,VIC,6.8
2020,September,VIC,6.9
2020,October,VIC,7
2020,November,VIC,6.8
2020,December,VIC,6.6
2021,January,VIC,6.4
2021,February,VIC,5.8
2021,March,VIC,5.6
2021,April,VIC,5.5
2021,May,VIC,5.1
2021,June,VIC,4.9
2021,July,VIC,4.6
2021,August,VIC,4.5
2021,September,VIC,4.6
2021,October,VIC,5.2
2021,November,VIC,4.6
2021,December,VIC,4.2
2022,January,VIC,4.2
2022,February,VIC,4
2022,March,VIC,4
2022,April,VIC,3.9
2022,May,VIC,3.9
2022,June,VIC,3.5
2022,July,VIC,3.4
2022,August,VIC,3.5
2022,September,VIC,3.5
2022,October,VIC,3.4
2022,November,VIC,3.4
2022,December,VIC,3.5
2023,January,VIC,3.7
2023,February,VIC,3.5
2023,March,VIC,4
2023,April,VIC,3.6
2023,May,VIC,3.7
2023,June,VIC,3.5
2023,July,VIC,3.6
2023,August,VIC,3.7
2023,September,VIC,3.6
2023,October,VIC,3.7
2023,November,VIC,3.9
2023,December,VIC,3.9
